Date,Close,9-day,21-day,Signal
2022-01-03,168.3300018310547,,,
2022-01-04,169.57000732421875,,,
2022-01-05,169.05999755859375,,,
2022-01-06,166.99000549316406,,,
2022-01-07,167.75,,,
2022-01-10,168.25999450683594,,,
2022-01-11,170.2899932861328,,,
2022-01-12,170.74000549316406,,,
2022-01-13,170.16000366210938,169.01666768391928,,
2022-01-14,169.6699981689453,169.1655561659071,,
2022-01-18,169.38999938964844,169.1455552842882,,
2022-01-19,172.0800018310547,169.48111131456164,,
2022-01-20,171.64999389648438,169.99888780381946,,
2022-01-21,171.08999633789062,170.3699985080295,,
2022-01-24,172.02999877929688,170.7888878716363,,
2022-01-25,172.5800018310547,171.04333326551648,,
2022-01-26,169.7899932861328,170.93777635362414,,
2022-01-27,167.60000610351562,170.65333218044705,,
2022-01-28,167.10000610351562,170.3677775065104,,
2022-01-31,168.08999633789062,170.22333272298178,,
2022-02-01,168.22999572753906,169.79555426703558,169.5452379499163,
2022-02-02,168.83999633789062,169.48333231608072,169.56952340262276,SELL
2022-02-03,168.60000610351562,169.20666673448352,169.52333286830358,
2022-02-04,168.86000061035156,168.8544447157118,169.51380920410156,
2022-02-07,170.11000061035156,168.58000013563367,169.6623804001581,
2022-02-08,170.6300048828125,168.67333475748697,169.79952348981584,
2022-02-09,171.2100067138672,169.07444593641492,169.94000026157923,
2022-02-10,170.55999755859375,169.45888943142361,169.9528576078869,
2022-02-11,173.80999755859375,170.09444512261285,170.0990477062407,
2022-02-14,174.74000549316406,170.81777954101562,170.317143031529,BUY
2022-02-15,173.0800018310547,171.2888912624783,170.47952415829613,
2022-02-16,174.86000061035156,171.98444620768228,170.74000040690103,
2022-02-17,177.25,172.91666836208768,170.98619079589844,
2022-02-18,177.1199951171875,173.695556640625,171.24666704450334,
2022-02-22,177.49000549316406,174.45777893066406,171.55142938523065,
2022-02-23,178.2899932861328,175.24444410536023,171.84952436174666,
2022-02-24,177.13999938964844,175.97555541992188,172.06666710263207,
2022-02-25,176.5500030517578,176.2800004747179,172.38857232956659,
2022-02-28,178.3800048828125,176.6844448513455,172.9019056047712,
2022-03-01,181.6199951171875,177.63333299424914,173.5933336530413,
2022-03-02,179.72999572753906,178.17444356282553,174.14761933826264,
2022-03-03,180.8000030517578,178.56888834635416,174.7461911156064,
2022-03-04,183.67999267578125,179.2977769639757,175.4528576078869,
2022-03-07,186.41000366210938,180.2888878716363,176.3009527297247,
2022-03-08,191.50999450683594,181.75777689615884,177.37952386765252,
2022-03-09,185.82000732421875,182.72222222222223,178.12761942545572,
2022-03-10,186.39999389648438,183.81666564941406,178.87857128324964,
2022-03-11,185.08999633789062,184.56222025553384,179.53952317010788,
2022-03-14,182.3000030517578,184.63777669270834,180.09857105073473,
2022-03-15,178.88999938964844,184.54444376627603,180.3404758998326,
2022-03-16,180.00999450683594,184.4566650390625,180.5914277576265,
2022-03-17,180.88999938964844,184.14666578504773,180.9633324032738,
2022-03-18,179.3000030517578,183.3566657172309,181.17476109095983,
2022-03-21,180.6699981689453,182.1522216796875,181.3376181466239,
2022-03-22,179.36000061035156,181.43444315592447,181.44428507486978,SELL
2022-03-23,181.80999755859375,180.92444356282553,181.6499989827474,
2022-03-24,183.1300048828125,180.70666673448352,181.88047572544642,
2022-03-25,182.3800048828125,180.7155558268229,182.12999979654947,
2022-03-28,179.05999755859375,180.7344445122613,182.24952334449404,
2022-03-29,179.13999938964844,180.63777838812933,182.2857135591053,
2022-03-30,180.5800018310547,180.60333421495227,182.23619006928942,
2022-03-31,180.64999389648438,180.75333319769965,182.2799995059059,
2022-04-01,179.5,180.62333340115018,182.21809459867933,
2022-04-04,180.3699951171875,180.73555501302084,182.06047566731772,
2022-04-05,179.24000549316406,180.4500003390842,181.7190471830822,
2022-04-06,179.66000366210938,180.06444464789496,181.1547619047619,
